ID,P1H,P2H,P3H,P4H,P5H,P1V,P2V,P3V,P4V,P5V,Plus_Off,Minus_Def,Plus/Minus,Home_Poss_Off,Home_Poss_Def,Poss_Tot,Time
202699162778316296141630595163109716277361630174163109316311051641767,1631097,1627783,1629614,202699,1630595,1631093,1631105,1630174,1641767,1627736,0,0,0,1,1,2,70
203935162837416290121629630163021716305831631117164170716417181641744,203935,1629630,1630217,1630583,1641744,1628374,1629012,1631117,1641707,1641718,12,11,1,8,8,16,2320
203935162837416290121629630164174416305901631117164170716417181642377,203935,1629630,1641744,1628374,1629012,1631117,1641707,1641718,1630590,1642377,2,3,-1,3,3,6,620
1629012163059016311171641707164171816296341630217163058316417291642377,1629012,1631117,1641707,1641718,1630590,1642377,1629634,1630217,1630583,1641729,1,3,-2,4,5,9,960
163059016311171641707164171816423772039031629634163021716305831641729,1631117,1641707,1641718,1630590,1642377,1629634,1630217,1630583,1641729,203903,1,0,1,1,0,1,220
162963416302171630590164171816423772039031628381163058316417291642262,1641718,1630590,1642377,1629634,1630217,1630583,1641729,203903,1628381,1642262,0,0,0,1,1,2,340
162963416305831630590164171816423772039031628381162972316417291642262,1641718,1630590,1642377,1629634,1630583,1641729,203903,1628381,1642262,1629723,0,6,-6,2,3,5,710
16296341630583163059016417291642377201988203903162838116297231642262,1630590,1642377,1629634,1630583,1641729,203903,1628381,1642262,1629723,201988,2,0,2,2,2,4,460
20390316283811629634163059016423772019881628374162972316312221642262,1630590,1642377,1629634,203903,1628381,1642262,1629723,201988,1631222,1628374,0,0,0,1,1,2,300
20390316283811629723163059016422622019881628374162963016306431631222,1630590,203903,1628381,1642262,1629723,201988,1631222,1628374,1629630,1630643,2,0,2,1,1,2,220
